Subject,Task,Trial,Valence,Arousal
sub-04,classicalMusic,1,-2.3164966111687963e-13,4.410777615129269
sub-04,classicalMusic,2,9.146603709259332e-12,1.3554085084070002
sub-04,classicalMusic,3,1.5286336851786115e-12,1.213527523313302
sub-04,classicalMusic,4,-7.052999888628344e-13,0.2537040636759745
sub-04,classicalMusic,5,-2.001952766223746e-14,0.40934978698826013
sub-04,classicalMusic,6,-2.888874736187989e-12,1.684486438797097
sub-04,classicalMusic,7,-1.1279363192846335e-11,2.0988044505577808
sub-04,classicalMusic,8,1.9340856321206112e-12,8.027705257952135
sub-04,classicalMusic,9,9.482519888646784e-13,11.565668029326812
sub-04,classicalMusic,10,-2.234522224838167e-12,17.24881485487181
sub-04,classicalMusic,11,-2.858051222097242e-12,25.99843831999673
sub-04,classicalMusic,12,-4.680807937881951e-12,35.84646472157384
sub-04,genMusic01,1,-1.035307806406208e-12,0.4978001276746753
sub-04,genMusic01,2,-1.0261419539894172e-12,0.4966078655526565
sub-04,genMusic01,3,-9.726100746605446e-12,0.1626612361750505
sub-04,genMusic01,4,-9.751776359553114e-12,0.1625704495743615
sub-04,genMusic01,5,4.7573173219159425e-12,1.0623374962179883
sub-04,genMusic01,6,4.7398490925021245e-12,1.0623093061899593
sub-04,genMusic01,7,-4.189673582462578e-12,0.12876245394837543
sub-04,genMusic01,8,-4.1751600453656776e-12,0.1288161994511359
sub-04,genMusic01,9,-6.334038952186239e-12,0.08150050884153057
sub-04,genMusic01,10,-6.31923441044021e-12,0.08148628170361759
sub-04,genMusic01,11,-1.3227629965313898e-12,0.04086563925556905
sub-04,genMusic01,12,-1.3227752534524784e-12,0.040868801579666866
sub-04,genMusic01,13,2.765372561386099e-13,0.070541716569989
sub-04,genMusic01,14,2.7593299033891105e-13,0.07049915442588729
sub-04,genMusic01,15,-3.9604178096510164e-12,0.05747389470505911
sub-04,genMusic01,16,-3.971915394902764e-12,0.057459418149437155
sub-04,genMusic01,17,-1.4159370915712885e-12,0.14637455569809912
sub-04,genMusic01,18,-1.4202440734424568e-12,0.14589140959506347
sub-04,genMusic01,19,-8.167961787347186e-13,0.24579981973179363
sub-04,genMusic01,20,-8.164958293990184e-13,0.24627731037033282
sub-04,genMusic01,21,-8.168331402030409e-13,0.28794376067372257
sub-04,genMusic01,22,-8.347148408692021e-13,0.2877049127571227
sub-04,genMusic01,23,-4.086216422771131e-12,0.37155160976387425
sub-04,genMusic01,24,-4.08184149178046e-12,0.37086982810920777
sub-04,genMusic02,1,-1.9423165916665017e-12,0.30947306830167054
sub-04,genMusic02,2,-1.942472700711335e-12,0.3086905756169816
sub-04,genMusic02,3,-1.110548789249969e-12,0.21920518317850698
sub-04,genMusic02,4,-1.104713343930845e-12,0.21965822604913476
sub-04,genMusic02,5,-3.1514751193032704e-12,0.15845218476413037
